stimulus,ball_index,order,DM,HOW,WHETHER,SUFFICIENT,ROBUST,order_old
1,1,3,0,0,0,0,0,2
1,2,1,1,1,0.15,1,0.21,3
1,3,2,0,0,0,0.836,0,1
2,1,3,0.118,0.19,0.076,0.001,0.1,3
2,2,2,0.956,0.15,0.72,0.025,0.74,2
2,3,1,1,1,1,1,1,1
3,1,1,1,1,1,1,0.81,1
3,2,2,0,0.23,0,0.001,0.04,2
3,3,3,0,0.14,0,0.051,0.03,3
4,1,1,1,1,0.001,1,0.62,1
4,2,2,0.627,0.12,0.32,0,0.33,2
4,3,3,0,0.19,0,0.235,0,3
5,1,1,1,1,0,1,0.02,1
5,2,2,0,0.08,0,1,0.01,2
5,3,3,0,0,0,0,0,3
6,1,2,0,0,0,0.969,0,2
6,2,1,1,1,0.034,1,0.04,1
6,3,3,0,0,0,0,0,3
7,1,3,0,0,0,0.654,0.29,3
7,2,2,1,1,0.47,0.055,0.27,2
7,3,1,1,1,0.364,0.176,0.2,1
8,1,3,0,0,0,0,0,2
8,2,1,1,1,0.751,0,0.5,3
8,3,2,1,1,0.999,0.22,0.64,1
9,1,2,1,1,0.178,0.098,0.15,2
9,2,1,1,1,0.515,0.01,0.45,1
9,3,3,0,0,0,0.922,0.03,3
10,1,3,0,0,0,0,0,3
10,2,2,1,1,1,0.046,0.88,2
10,3,1,1,1,0.954,0,0.88,1
11,1,3,0,0.1,0,0.94,0.02,2
11,2,1,1,1,0.341,0.203,0.29,3
11,3,2,1,1,0.514,0.01,0.47,1
12,1,1,1,1,0.918,0.071,0.52,1
12,2,2,1,1,0.933,0.09,0.39,2
12,3,3,0,0,0,0,0,3
13,1,1,1,1,0.697,0,0.09,1
13,2,2,1,1,0.702,0.011,0.14,2
13,3,3,1,1,0.995,0.299,0.16,3
14,1,1,1,1,1,0.002,0.17,1
14,2,2,1,1,0.735,0.001,0.17,2
14,3,3,1,1,0.993,0.053,0.09,3
15,1,2,1,1,0.823,0,0.15,3
15,2,3,1,1,0.75,0.003,0.41,1
15,3,1,1,1,0.996,0.194,0.41,2
16,1,2,1,1,0.975,0.335,0.62,2
16,2,1,1,1,0.668,0.162,0.28,1
16,3,3,1,1,0.545,0.039,0.29,3
17,1,2,1,1,0.965,0.001,0.59,3
17,2,3,1,1,0.992,0.256,0.9,1
17,3,1,1,1,0.732,0.001,0.71,2
18,1,2,1,1,0.996,0.255,0.29,2
18,2,1,1,1,0.884,0.022,0.31,1
18,3,3,1,1,0.707,0.021,0.16,3
