stimulus,ball_index,order,DM,HOW,WHETHER,SUFFICIENT,ROBUST
1,1,2,0.0,0.0,0.0,0.0,0.0
1,2,3,1.0,1.0,0.15,1.0,0.21
1,3,1,0.0,0.0,0.0,0.836,0.0
2,1,3,0.118,0.19,0.076,0.001,0.1
2,2,2,0.956,0.15,0.72,0.025,0.74
2,3,1,1.0,1.0,1.0,1.0,1.0
3,1,1,1.0,1.0,1.0,1.0,0.81
3,2,2,0.0,0.23,0.0,0.001,0.04
3,3,3,0.0,0.14,0.0,0.051,0.03
4,1,1,1.0,1.0,0.001,1.0,0.62
4,2,2,0.627,0.12,0.32,0.0,0.33
4,3,3,0.0,0.19,0.0,0.235,0.0
5,1,1,1.0,1.0,0.0,1.0,0.02
5,2,2,0.0,0.08,0.0,1.0,0.01
5,3,3,0.0,0.0,0.0,0.0,0.0
6,1,2,0.0,0.0,0.0,0.969,0.0
6,2,1,1.0,1.0,0.034,1.0,0.04
6,3,3,0.0,0.0,0.0,0.0,0.0
7,1,3,0.0,0.0,0.0,0.654,0.29
7,2,2,1.0,1.0,0.47,0.055,0.27
7,3,1,1.0,1.0,0.364,0.176,0.2
8,1,2,0.0,0.0,0.0,0.0,0.0
8,2,3,1.0,1.0,0.751,0.0,0.5
8,3,1,1.0,1.0,0.999,0.22,0.64
9,1,2,1.0,1.0,0.178,0.098,0.15
9,2,1,1.0,1.0,0.515,0.01,0.45
9,3,3,0.0,0.0,0.0,0.922,0.03
10,1,3,0.0,0.0,0.0,0.0,0.0
10,2,2,1.0,1.0,1.0,0.046,0.88
10,3,1,1.0,1.0,0.954,0.0,0.88
11,1,2,0.0,0.1,0.0,0.94,0.02
11,2,3,1.0,1.0,0.341,0.203,0.29
11,3,1,1.0,1.0,0.514,0.01,0.47
12,1,1,1.0,1.0,0.918,0.071,0.52
12,2,2,1.0,1.0,0.933,0.09,0.39
12,3,3,0.0,0.0,0.0,0.0,0.0
13,1,1,1.0,1.0,0.697,0.0,0.09
13,2,2,1.0,1.0,0.702,0.011,0.14
13,3,3,1.0,1.0,0.995,0.299,0.16
14,1,1,1.0,1.0,1.0,0.002,0.17
14,2,2,1.0,1.0,0.735,0.001,0.17
14,3,3,1.0,1.0,0.993,0.053,0.09
15,1,3,1.0,1.0,0.823,0.0,0.15
15,2,1,1.0,1.0,0.75,0.003,0.41
15,3,2,1.0,1.0,0.996,0.194,0.41
16,1,2,1.0,1.0,0.975,0.335,0.62
16,2,1,1.0,1.0,0.668,0.162,0.28
16,3,3,1.0,1.0,0.545,0.039,0.29
17,1,3,1.0,1.0,0.965,0.001,0.59
17,2,1,1.0,1.0,0.992,0.256,0.9
17,3,2,1.0,1.0,0.732,0.001,0.71
18,1,2,1.0,1.0,0.996,0.255,0.29
18,2,1,1.0,1.0,0.884,0.022,0.31
18,3,3,1.0,1.0,0.707,0.021,0.16
