intro.started,intro.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,participant,date,expName,psychopyVersion,OS,frameRate,timing_info.started,timing_info.stopped,button_7.numClicks,button_7.timesOn,button_7.timesOff,hand_positions.started,hand_positions.stopped,space_bar.keys,space_bar.rt,space_bar.duration,train_keys.started,train_keys.stopped,key_resp.keys,key_resp.rt,key_resp.duration,score.started,score.stopped,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,training_rounds,test_instruct.started,test_instruct.stopped,instruct_cont.started,instruct_cont.stopped,point_instruct.started,point_instruct.stopped,accident_instruct.started,accident_instruct.stopped,advance.started,advance.stopped,flip_video.started,flip_video.stopped,trial_type,buffer.started,buffer.stopped,collision.started,collision.stopped,selection,stimuli_path,select_resp.keys,select_resp.rt,select_resp.duration,resp_trial,responsibility.started,responsibility.stopped,conf_2.response,button.numClicks,button.timesOn,button.timesOff,conf_one,conf_two,conf_three,conf_3.response,conf_1.response,forfeit.started,forfeit.stopped,forfeit_button.numClicks,forfeit_button.timesOn,forfeit_button.timesOff,keep_button.numClicks,keep_button.timesOn,keep_button.timesOff,accuracy.started,accuracy.stopped,rt_diff,acc_points,keep_round,practice_round,begin_review.started,begin_review.stopped,space_bar_6.keys,space_bar_6.rt,space_bar_6.duration,review_keys.started,review_keys.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,review_trials,baseline_rts,review.thisRepN,review.thisTrialN,review.thisN,review.thisIndex,review.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,transition.started,transition.stopped,calibrate_instruct.started,calibrate_instruct.stopped,flip_calibration.started,flip_calibration.stopped,calibrate.started,calibrate.stopped,prediction.started,prediction.stopped,miss.numClicks,miss.timesOn,miss.timesOff,hit.numClicks,hit.timesOn,hit.timesOff,calibration_pred,calibration_actual,calibration_score,cal_feedback.started,cal_feedback.stopped,space_bar_12.keys,space_bar_12.rt,space_bar_12.duration,calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,calibration.ran
0.0006,6.9587,1,[1.9664000000003732],[1.9664000000003732],5f285dc5b09b3715fa20a14c,2026-02-02_14h30.18.514,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f285dc5b09b3715fa20a14c,2026-02-02_14h30.18.514,causal,2025.1.1,Linux x86_64,60.24096386,6.9594,12.9245,1,[0.967099999999629],[0.967099999999629],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f285dc5b09b3715fa20a14c,2026-02-02_14h30.18.514,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,12.9251,47.5023,"[""space"",""space""]","[7.360499999999998,31.50709999999962]","[null,null]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f285dc5b09b3715fa20a14c,2026-02-02_14h30.18.514,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,130.5236,131.8226,space,0.9013,,131.8234,134.1218,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f285dc5b09b3715fa20a14c,2026-02-02_14h30.18.514,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,191.7304,192.6633,space,0.5359,,192.6636,195.4454,1,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f285dc5b09b3715fa20a14c,2026-02-02_14h30.18.514,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,195.4468,203.1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f285dc5b09b3715fa20a14c,2026-02-02_14h30.18.514,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,203.1945,210.9925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f285dc5b09b3715fa20a14c,2026-02-02_14h30.18.514,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.9929,217.7585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f285dc5b09b3715fa20a14c,2026-02-02_14h30.18.514,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.7589,222.5073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f285dc5b09b3715fa20a14c,2026-02-02_14h30.18.514,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.5104,223.8575,223.8581,223.8584,train,264.1688,265.1841,225.3767,228.5903,miss,stimuli/collisions/training/stim1.mp4,j,3.0352,,TRUE,228.5933,228.6119,,0,[],[],red,green,blue,,,228.6122,236.7235,1,[236.74399999999997],[236.7440999999996],0,[],[],236.7245,241.5549,1.3012,-5,FALSE,TRUE,241.5553,244.3381,"[""space""]",[0.7477999999989038],[null],265.1843,266.2347,space,0.6591,,9,"[1.68,1.09,0.79,0.65,0.44,0.58,0.66,0.62,0.86,0.66]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f285dc5b09b3715fa20a14c,2026-02-02_14h30.18.514,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f285dc5b09b3715fa20a14c,2026-02-02_14h30.18.514,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.2361,266.984,266.9841,266.9842,train,297.4818,297.4821,268.5013,271.0497,green,stimuli/collisions/training/stim3.mp4,k,2.2022,,TRUE,271.0521,289.0812,99,1,[1.1165999999996075],[1.1165999999996075],red,green,blue,0,1,289.0842,292.1134,0,[],[],1,[292.13340000000034],[292.13340000000034],292.114,297.4792,1.0678,20,TRUE,FALSE,297.4792,297.4795,,,,297.4823,297.4838,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f285dc5b09b3715fa20a14c,2026-02-02_14h30.18.514,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f285dc5b09b3715fa20a14c,2026-02-02_14h30.18.514,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.4842,298.1955,298.1955,298.1957,train,345.4061,346.4215,299.7128,304.6111,blue,stimuli/collisions/training/stim2.mp4,f,4.544,,TRUE,304.6142,314.3605,73,1,[1.1665000000000418],[1.1665000000000418],red,green,blue,15,3,314.3637,317.4431,1,[317.46370000000115],[317.46370000000115],0,[],[],317.4435,320.1253,-0.544,15,FALSE,TRUE,320.1254,322.6745,"[""space""]",[0.5216999999992709],[null],346.4219,347.6388,k,0.8589,,9,"[2.92,0.67,0.73,0.75,0.6,0.86,0.65,0.97,0.86]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f285dc5b09b3715fa20a14c,2026-02-02_14h30.18.514,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
