intro.started,intro.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,participant,date,expName,psychopyVersion,OS,frameRate,timing_info.started,timing_info.stopped,button_7.numClicks,button_7.timesOn,button_7.timesOff,hand_positions.started,hand_positions.stopped,space_bar.keys,space_bar.rt,space_bar.duration,train_keys.started,train_keys.stopped,key_resp.keys,key_resp.rt,key_resp.duration,score.started,score.stopped,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,training_rounds,test_instruct.started,test_instruct.stopped,instruct_cont.started,instruct_cont.stopped,point_instruct.started,point_instruct.stopped,accident_instruct.started,accident_instruct.stopped,advance.started,advance.stopped,flip_video.started,flip_video.stopped,trial_type,buffer.started,buffer.stopped,collision.started,collision.stopped,selection,stimuli_path,select_resp.keys,select_resp.rt,select_resp.duration,resp_trial,responsibility.started,responsibility.stopped,conf_2.response,button.numClicks,button.timesOn,button.timesOff,conf_one,conf_two,conf_three,conf_3.response,conf_1.response,forfeit.started,forfeit.stopped,forfeit_button.numClicks,forfeit_button.timesOn,forfeit_button.timesOff,keep_button.numClicks,keep_button.timesOn,keep_button.timesOff,accuracy.started,accuracy.stopped,rt_diff,acc_points,keep_round,practice_round,begin_review.started,begin_review.stopped,space_bar_6.keys,space_bar_6.rt,space_bar_6.duration,review_keys.started,review_keys.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,review_trials,baseline_rts,review.thisRepN,review.thisTrialN,review.thisN,review.thisIndex,review.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,transition.started,transition.stopped,calibrate_instruct.started,calibrate_instruct.stopped,flip_calibration.started,flip_calibration.stopped,calibrate.started,calibrate.stopped,prediction.started,prediction.stopped,miss.numClicks,miss.timesOn,miss.timesOff,hit.numClicks,hit.timesOn,hit.timesOff,calibration_pred,calibration_actual,calibration_score,cal_feedback.started,cal_feedback.stopped,space_bar_12.keys,space_bar_12.rt,space_bar_12.duration,calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,calibration.ran
0.0004,6.5809,1,[1.593800000011921],[1.593800000011921],5f2a5f187bf471245f7dc096,2026-02-02_14h17.13.556,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f2a5f187bf471245f7dc096,2026-02-02_14h17.13.556,causal,2025.1.1,Win32,60.24096386,6.5812,12.2606,1,[0.6929000000059631],[0.6929000000059631],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f2a5f187bf471245f7dc096,2026-02-02_14h17.13.556,causal,2025.1.1,Win32,60.24096386,,,,,,12.2606,27.9557,"[""space"",""space""]","[5.699400000005962,12.629100000023843]","[null,null]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f2a5f187bf471245f7dc096,2026-02-02_14h17.13.556,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,85.5486,86.7832,k,0.8695,,86.7836,89.4228,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f2a5f187bf471245f7dc096,2026-02-02_14h17.13.556,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,145.6464,146.6783,space,0.6776,,146.6783,149.2305,1,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f2a5f187bf471245f7dc096,2026-02-02_14h17.13.556,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,149.2312,155.3538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f2a5f187bf471245f7dc096,2026-02-02_14h17.13.556,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,155.3539,162.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f2a5f187bf471245f7dc096,2026-02-02_14h17.13.556,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.9561,172.2799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f2a5f187bf471245f7dc096,2026-02-02_14h17.13.556,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.28,176.9885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5f2a5f187bf471245f7dc096,2026-02-02_14h17.13.556,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.9902,177.8938,177.894,177.8941,train,218.0828,219.0939,179.409,182.0735,green,stimuli/collisions/training/stim3.mp4,k,2.2875,,TRUE,182.0745,191.0888,100,1,[1.7080999999940332],[1.7080999999940332],red,green,blue,0,0,191.0891,192.8508,0,[],[],1,[192.86319999998807],[192.86319999998807],192.8513,197.5242,0.9825,25,TRUE,TRUE,197.5243,200.1668,"[""space""]",[0.6133000000119182],[null],219.094,219.8955,f,0.4251,,9,"[1.44,0.62,0.65,0.49,0.49,0.44,0.51,0.45,0.45,0.43]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
