intro.started,intro.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,participant,date,expName,psychopyVersion,OS,frameRate,timing_info.started,timing_info.stopped,button_7.numClicks,button_7.timesOn,button_7.timesOff,hand_positions.started,hand_positions.stopped,space_bar.keys,space_bar.rt,space_bar.duration,train_keys.started,train_keys.stopped,key_resp.keys,key_resp.rt,key_resp.duration,score.started,score.stopped,training_rounds,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,test_instruct.started,test_instruct.stopped,instruct_cont.started,instruct_cont.stopped,point_instruct.started,point_instruct.stopped,accident_instruct.started,accident_instruct.stopped,advance.started,advance.stopped,flip_video.started,flip_video.stopped,trial_type,buffer.started,buffer.stopped,collision.started,collision.stopped,selection,stimuli_path,select_resp.keys,select_resp.rt,select_resp.duration,resp_trial,responsibility.started,responsibility.stopped,conf_2.response,button.numClicks,button.timesOn,button.timesOff,conf_one,conf_two,conf_three,conf_3.response,conf_1.response,forfeit.started,forfeit.stopped,forfeit_button.numClicks,forfeit_button.timesOn,forfeit_button.timesOff,keep_button.numClicks,keep_button.timesOn,keep_button.timesOff,accuracy.started,accuracy.stopped,rt_diff,acc_points,keep_round,practice_round,begin_review.started,begin_review.stopped,space_bar_6.keys,space_bar_6.rt,space_bar_6.duration,review_keys.started,review_keys.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,review_trials,baseline_rts,review.thisRepN,review.thisTrialN,review.thisN,review.thisIndex,review.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,transition.started,transition.stopped,calibrate_instruct.started,calibrate_instruct.stopped,flip_calibration.started,flip_calibration.stopped,calibrate.started,calibrate.stopped,prediction.started,prediction.stopped,miss.numClicks,miss.timesOn,miss.timesOff,hit.numClicks,hit.timesOn,hit.timesOff,calibration_pred,calibration_actual,calibration_score,cal_feedback.started,cal_feedback.stopped,space_bar_12.keys,space_bar_12.rt,space_bar_12.duration,calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,calibration.ran
0.0008,7.4339,1,[2.450700000000186],[2.450700000000186],60fcdd69698ec42269375912,2026-02-02_15h03.02.552,causal,2025.1.1,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60fcdd69698ec42269375912,2026-02-02_15h03.02.552,causal,2025.1.1,MacIntel,60.60606061,7.4345,13.4338,1,[0.9997999999998086],[0.9997999999998086],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60fcdd69698ec42269375912,2026-02-02_15h03.02.552,causal,2025.1.1,MacIntel,60.60606061,,,,,,13.4339,35.3862,"[""space"",""space""]","[0.9027000000001877,18.8885]","[null,null]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60fcdd69698ec42269375912,2026-02-02_15h03.02.552,causal,2025.1.1,MacIntel,60.60606061,,,,,,,,,,,87.622,88.6399,j,0.6668,,88.6405,92.3221,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60fcdd69698ec42269375912,2026-02-02_15h03.02.552,causal,2025.1.1,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,92.3228,100.806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60fcdd69698ec42269375912,2026-02-02_15h03.02.552,causal,2025.1.1,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,100.8061,109.3901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60fcdd69698ec42269375912,2026-02-02_15h03.02.552,causal,2025.1.1,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.3904,122.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60fcdd69698ec42269375912,2026-02-02_15h03.02.552,causal,2025.1.1,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.5582,127.5077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60fcdd69698ec42269375912,2026-02-02_15h03.02.552,causal,2025.1.1,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.5097,129.0417,129.0421,129.0425,train,177.5784,178.5785,130.5622,133.0917,green,stimuli/collisions/training/stim3.mp4,k,2.1586,,TRUE,133.0935,149.3601,99,1,[1.0655999999996197],[1.0655999999996197],red,green,blue,0,0,149.3604,151.793,0,[],[],1,[151.8206000000001],[151.8206000000001],151.7935,157.1101,1.1114,30,TRUE,TRUE,157.1103,160.1776,"[""space""]",[1.0328000000002646],[null],178.5785,179.6129,f,0.7083,,9,"[0.91,0.57,0.54,0.48,0.45,0.53,0.53,0.52,0.58,0.71]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60fcdd69698ec42269375912,2026-02-02_15h03.02.552,causal,2025.1.1,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
