intro.started,intro.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,participant,date,expName,psychopyVersion,OS,frameRate,timing_info.started,timing_info.stopped,button_7.numClicks,button_7.timesOn,button_7.timesOff,hand_positions.started,hand_positions.stopped,space_bar.keys,space_bar.rt,space_bar.duration,train_keys.started,train_keys.stopped,key_resp.keys,key_resp.rt,key_resp.duration,score.started,score.stopped,training_rounds,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,test_instruct.started,test_instruct.stopped,instruct_cont.started,instruct_cont.stopped,point_instruct.started,point_instruct.stopped,accident_instruct.started,accident_instruct.stopped,advance.started,advance.stopped,flip_video.started,flip_video.stopped,trial_type,buffer.started,buffer.stopped,collision.started,collision.stopped,selection,stimuli_path,select_resp.keys,select_resp.rt,select_resp.duration,resp_trial,responsibility.started,responsibility.stopped,conf_2.response,button.numClicks,button.timesOn,button.timesOff,conf_one,conf_two,conf_three,conf_3.response,conf_1.response,forfeit.started,forfeit.stopped,forfeit_button.numClicks,forfeit_button.timesOn,forfeit_button.timesOff,keep_button.numClicks,keep_button.timesOn,keep_button.timesOff,accuracy.started,accuracy.stopped,rt_diff,acc_points,keep_round,practice_round,begin_review.started,begin_review.stopped,space_bar_6.keys,space_bar_6.rt,space_bar_6.duration,review_keys.started,review_keys.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,review_trials,baseline_rts,review.thisRepN,review.thisTrialN,review.thisN,review.thisIndex,review.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,transition.started,transition.stopped,calibrate_instruct.started,calibrate_instruct.stopped,flip_calibration.started,flip_calibration.stopped,calibrate.started,calibrate.stopped,prediction.started,prediction.stopped,miss.numClicks,miss.timesOn,miss.timesOff,hit.numClicks,hit.timesOn,hit.timesOff,calibration_pred,calibration_actual,calibration_score,cal_feedback.started,cal_feedback.stopped,space_bar_12.keys,space_bar_12.rt,space_bar_12.duration,calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,calibration.ran
0.0015,8.5505,1,[3.573999999999998],[3.573999999999998],612962f44f151ddfd0298c52,2026-02-02_14h14.47.942,causal,2025.1.1,Win32,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,612962f44f151ddfd0298c52,2026-02-02_14h14.47.942,causal,2025.1.1,Win32,10,8.5511,17.017,1,[3.5420000000000016],[3.542100000381467],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,612962f44f151ddfd0298c52,2026-02-02_14h14.47.942,causal,2025.1.1,Win32,10,,,,,,17.0174,28.9447,"[""space"",""space""]","[3.7261999998092676,8.432199999809256]","[0.0012000007629353604,null]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,612962f44f151ddfd0298c52,2026-02-02_14h14.47.942,causal,2025.1.1,Win32,10,,,,,,,,,,,154.426,156.1441,space,0.864,,156.1447,160.8752,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,612962f44f151ddfd0298c52,2026-02-02_14h14.47.942,causal,2025.1.1,Win32,10,,,,,,,,,,,,,,,,,,,,,,,,160.8765,169.0386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,612962f44f151ddfd0298c52,2026-02-02_14h14.47.942,causal,2025.1.1,Win32,10,,,,,,,,,,,,,,,,,,,,,,,,,,169.039,177.2585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,612962f44f151ddfd0298c52,2026-02-02_14h14.47.942,causal,2025.1.1,Win32,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.2589,184.8447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,612962f44f151ddfd0298c52,2026-02-02_14h14.47.942,causal,2025.1.1,Win32,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.8451,190.9121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,612962f44f151ddfd0298c52,2026-02-02_14h14.47.942,causal,2025.1.1,Win32,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.9158,192.367,192.3675,192.3678,train,261.9651,263.0453,193.8803,198.0256,green,stimuli/collisions/training/stim1.mp4,k,3.278,,TRUE,198.0282,218.9779,0,1,[7.489899999618558],[7.489899999618558],red,green,blue,1,100,218.9785,225.002,0,[],[],1,[225.08519999980928],[225.08519999980928],225.0031,231.1734,0.862,25,TRUE,TRUE,231.1738,234.6125,"[""space""]",[1.2578999996185303],[null],263.0454,264.9691,f,1.2113,,9,"[1.11,1.61,1.13,1.25,0.87,1.23,0.75,1.38,1.48,1.21]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,612962f44f151ddfd0298c52,2026-02-02_14h14.47.942,causal,2025.1.1,Win32,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
