intro.started,intro.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,participant,date,expName,psychopyVersion,OS,frameRate,timing_info.started,timing_info.stopped,button_7.numClicks,button_7.timesOn,button_7.timesOff,hand_positions.started,hand_positions.stopped,space_bar.keys,space_bar.rt,space_bar.duration,train_keys.started,train_keys.stopped,key_resp.keys,key_resp.rt,key_resp.duration,score.started,score.stopped,training_rounds,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,test_instruct.started,test_instruct.stopped,instruct_cont.started,instruct_cont.stopped,point_instruct.started,point_instruct.stopped,accident_instruct.started,accident_instruct.stopped,advance.started,advance.stopped,flip_video.started,flip_video.stopped,trial_type,buffer.started,buffer.stopped,collision.started,collision.stopped,selection,stimuli_path,select_resp.keys,select_resp.rt,select_resp.duration,resp_trial,responsibility.started,responsibility.stopped,conf_2.response,button.numClicks,button.timesOn,button.timesOff,conf_one,conf_two,conf_three,conf_3.response,conf_1.response,forfeit.started,forfeit.stopped,forfeit_button.numClicks,forfeit_button.timesOn,forfeit_button.timesOff,keep_button.numClicks,keep_button.timesOn,keep_button.timesOff,accuracy.started,accuracy.stopped,rt_diff,acc_points,keep_round,practice_round,begin_review.started,begin_review.stopped,space_bar_6.keys,space_bar_6.rt,space_bar_6.duration,review_keys.started,review_keys.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,review_trials,baseline_rts,review.thisRepN,review.thisTrialN,review.thisN,review.thisIndex,review.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,transition.started,transition.stopped,calibrate_instruct.started,calibrate_instruct.stopped,flip_calibration.started,flip_calibration.stopped,calibrate.started,calibrate.stopped,prediction.started,prediction.stopped,miss.numClicks,miss.timesOn,miss.timesOff,hit.numClicks,hit.timesOn,hit.timesOff,calibration_pred,calibration_actual,calibration_score,cal_feedback.started,cal_feedback.stopped,space_bar_12.keys,space_bar_12.rt,space_bar_12.duration,calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,calibration.ran
0.0003,6.9385,1,[1.9535000000000018],[1.9535000000000018],63d15d3dd6cacf7e94f8c0b1,2026-02-02_13h21.10.335,causal,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,63d15d3dd6cacf7e94f8c0b1,2026-02-02_13h21.10.335,causal,2025.1.1,MacIntel,63.69426752,6.9387,12.8552,1,[0.919699999988083],[0.919699999988083],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,63d15d3dd6cacf7e94f8c0b1,2026-02-02_13h21.10.335,causal,2025.1.1,MacIntel,63.69426752,,,,,,12.8554,29.4523,"[""space"",""space""]","[1.1651999999880758,13.529699999988075]","[null,null]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,63d15d3dd6cacf7e94f8c0b1,2026-02-02_13h21.10.335,causal,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,99.402,100.6181,f,0.8826,,100.6182,103.6175,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,63d15d3dd6cacf7e94f8c0b1,2026-02-02_13h21.10.335,causal,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,103.6179,115.7337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,63d15d3dd6cacf7e94f8c0b1,2026-02-02_13h21.10.335,causal,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,115.7339,128.5503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,63d15d3dd6cacf7e94f8c0b1,2026-02-02_13h21.10.335,causal,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.5504,147.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,63d15d3dd6cacf7e94f8c0b1,2026-02-02_13h21.10.335,causal,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.3511,152.1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,63d15d3dd6cacf7e94f8c0b1,2026-02-02_13h21.10.335,causal,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.1848,154.25,154.2502,154.2502,train,187.8013,188.8165,155.7563,158.6346,miss,stimuli/collisions/training/stim2.mp4,space,2.2479,,TRUE,158.6356,158.6578,,0,[],[],red,green,blue,,,158.658,161.0387,0,[],[],1,[161.053],[161.053],161.0391,165.3669,1.7521,30,TRUE,TRUE,165.367,168.684,"[""space""]",[1.2825999999940336],[null],188.8165,189.7506,k,0.5807,,9,"[1.31,0.74,0.68,0.74,0.59,0.58,0.68,0.7,0.81,0.58]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,63d15d3dd6cacf7e94f8c0b1,2026-02-02_13h21.10.335,causal,2025.1.1,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
