intro.started,intro.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,participant,date,expName,psychopyVersion,OS,frameRate,timing_info.started,timing_info.stopped,button_7.numClicks,button_7.timesOn,button_7.timesOff,hand_positions.started,hand_positions.stopped,space_bar.keys,space_bar.rt,space_bar.duration,train_keys.started,train_keys.stopped,key_resp.keys,key_resp.rt,key_resp.duration,score.started,score.stopped,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,training_rounds,test_instruct.started,test_instruct.stopped,instruct_cont.started,instruct_cont.stopped,point_instruct.started,point_instruct.stopped,accident_instruct.started,accident_instruct.stopped,advance.started,advance.stopped,flip_video.started,flip_video.stopped,trial_type,buffer.started,buffer.stopped,collision.started,collision.stopped,selection,stimuli_path,select_resp.keys,select_resp.rt,select_resp.duration,resp_trial,responsibility.started,responsibility.stopped,conf_2.response,button.numClicks,button.timesOn,button.timesOff,conf_one,conf_two,conf_three,conf_3.response,conf_1.response,forfeit.started,forfeit.stopped,forfeit_button.numClicks,forfeit_button.timesOn,forfeit_button.timesOff,keep_button.numClicks,keep_button.timesOn,keep_button.timesOff,accuracy.started,accuracy.stopped,rt_diff,acc_points,keep_round,practice_round,begin_review.started,begin_review.stopped,space_bar_6.keys,space_bar_6.rt,space_bar_6.duration,review_keys.started,review_keys.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,review_trials,baseline_rts,review.thisRepN,review.thisTrialN,review.thisN,review.thisIndex,review.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,transition.started,transition.stopped,calibrate_instruct.started,calibrate_instruct.stopped,flip_calibration.started,flip_calibration.stopped,calibrate.started,calibrate.stopped,prediction.started,prediction.stopped,miss.numClicks,miss.timesOn,miss.timesOff,hit.numClicks,hit.timesOn,hit.timesOff,calibration_pred,calibration_actual,calibration_score,cal_feedback.started,cal_feedback.stopped,space_bar_12.keys,space_bar_12.rt,space_bar_12.duration,calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,calibration.ran
0.0011,7.0433,1,[2.051200000047686],[2.051200000047686],652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,7.044,17.1596,1,[5.11679999995232],[5.11679999995232],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,17.1601,36.618,"[""space"",""space""]","[5.965099999904631,16.394]","[null,null]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,107.3872,108.4269,space,0.6547,,108.4276,111.4091,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,180.3858,181.5194,f,0.7837,,181.5196,184.3148,1,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,184.3164,190.7854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,190.7858,198.5102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.5105,205.7928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.793,210.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0629,211.6934,211.694,211.6943,train,269.528,270.5431,213.2125,214.4038,blue,stimuli/collisions/training/stim3.mp4,f,0.8245,,TRUE,214.4079,235.8278,56,1,[4.532599999904619],[4.532700000047669],red,green,blue,87,54,235.8282,240.1098,0,[],[],1,[240.1317999999523],[240.13190000009536],240.1107,245.1934,2.4455,35,TRUE,TRUE,245.1941,248.1603,"[""space""]",[0.9312000000476814],[null],270.5433,271.4274,j,0.5368,,9,"[2.64,0.86,0.68,0.63,1.28,0.64,0.97,0.65,0.63,0.54]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.4287,273.1762,273.1764,273.1765,train,313.6445,314.66,274.6945,276.0258,red,stimuli/collisions/training/stim2.mp4,j,0.9833,,TRUE,276.0301,285.1372,40,1,[1.8658000001907453],[1.8658000001907453],red,green,blue,35,69,285.1387,286.3702,0,[],[],1,[286.39240000009534],[286.39240000009534],286.3709,289.8926,3.0167,-5,TRUE,TRUE,289.8927,293.0929,"[""space""]",[1.1686999998092915],[null],314.6601,315.6608,k,0.647,,9,"[0.7,1.1,0.68,0.7,1.39,1.28,0.69,0.9,0.74,0.65]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.6613,330.1266,330.1268,330.1269,train,367.4123,368.4253,331.6433,333.4206,miss,stimuli/collisions/training/stim1.mp4,space,1.4132,,TRUE,333.4246,333.4382,,0,[],[],red,green,blue,,,333.44,335.6022,0,[],[],1,[335.625],[335.625],335.6027,340.0208,2.7268,-45,TRUE,TRUE,340.0209,342.8926,"[""space""]",[0.8499000000953743],[null],368.4253,369.4536,space,0.6453,,9,"[1.12,1.46,1.22,0.68,1.92,2,0.67,0.71,2.33,0.65]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.4545,373.269,373.2691,373.2692,catch,412.8781,413.8925,374.785,376.3842,red,stimuli/collisions/miss/stim1.mp4,j,1.2522,,TRUE,376.3888,382.3119,45,1,[0.9504000000953852],[0.9504000000953852],red,green,blue,38,83,382.3145,383.3105,0,[],[],1,[383.3322999999523],[383.3322999999523],383.3111,387.993,2.7478,-85,TRUE,TRUE,387.9932,390.9931,"[""space""]",[0.9695999999046307],[null],413.8926,414.8608,k,0.6165,,9,"[2.73,0.57,0.68,0.99,1,0.85,1.58,0.58,0.55,0.62]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.8616,415.91,415.9105,415.9106,test,430.5282,430.5284,417.4276,419.4993,blue,stimuli/collisions/hit/stim11.mp4,f,1.7283,,TRUE,419.5028,426.2776,45,1,[1.83270000004768],[1.83270000004768],red,green,blue,85,27,426.2795,427.3601,0,[],[],1,[427.38210000014305],[427.38210000014305],427.3609,430.5261,1.8417,-50,TRUE,FALSE,430.5262,430.5265,,,,430.5285,430.5294,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.5298,431.7596,431.76,431.76,test,446.7288,446.7289,433.2783,435.4424,red,stimuli/collisions/hit/stim17.mp4,j,1.8152,,TRUE,435.4459,442.6453,44,1,[1.6327000000476914],[1.6327000000476914],red,green,blue,33,86,442.6474,443.6273,0,[],[],1,[443.649],[443.649],443.628,446.7267,2.4948,-15,TRUE,FALSE,446.7268,446.7271,,,,446.729,446.7296,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652c5f38cf13042034313b91,2026-02-02_11h16.06.077,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.73,447.6924,447.6926,447.6927,test,480.5782,481.5931,449.2111,451.3195,miss,stimuli/collisions/hit/stim2.mp4,space,1.7597,,TRUE,451.3235,451.3308,,0,[],[],red,green,blue,,,451.3318,453.143,0,[],[],1,[453.16560000014306],[453.16560000014306],453.1438,456.1099,2.1503,-55,TRUE,TRUE,456.11,459.0601,"[""space""]",[0.9184999999999945],[null],481.5932,482.6941,f,0.746,,9,"[2.45,0.6,0.63,1.76,0.55,0.9,0.67,0.8,0.8,0.75]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
