intro.started,intro.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,participant,date,expName,psychopyVersion,OS,frameRate,timing_info.started,timing_info.stopped,button_7.numClicks,button_7.timesOn,button_7.timesOff,hand_positions.started,hand_positions.stopped,space_bar.keys,space_bar.rt,space_bar.duration,train_keys.started,train_keys.stopped,key_resp.keys,key_resp.rt,key_resp.duration,score.started,score.stopped,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,training_rounds,test_instruct.started,test_instruct.stopped,instruct_cont.started,instruct_cont.stopped,point_instruct.started,point_instruct.stopped,accident_instruct.started,accident_instruct.stopped,advance.started,advance.stopped,flip_video.started,flip_video.stopped,trial_type,buffer.started,buffer.stopped,collision.started,collision.stopped,selection,stimuli_path,select_resp.keys,select_resp.rt,select_resp.duration,resp_trial,responsibility.started,responsibility.stopped,conf_2.response,button.numClicks,button.timesOn,button.timesOff,conf_one,conf_two,conf_three,conf_3.response,conf_1.response,forfeit.started,forfeit.stopped,forfeit_button.numClicks,forfeit_button.timesOn,forfeit_button.timesOff,keep_button.numClicks,keep_button.timesOn,keep_button.timesOff,accuracy.started,accuracy.stopped,rt_diff,acc_points,keep_round,practice_round,begin_review.started,begin_review.stopped,space_bar_6.keys,space_bar_6.rt,space_bar_6.duration,review_keys.started,review_keys.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,review_trials,baseline_rts,review.thisRepN,review.thisTrialN,review.thisN,review.thisIndex,review.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,transition.started,transition.stopped,calibrate_instruct.started,calibrate_instruct.stopped,flip_calibration.started,flip_calibration.stopped,calibrate.started,calibrate.stopped,prediction.started,prediction.stopped,miss.numClicks,miss.timesOn,miss.timesOff,hit.numClicks,hit.timesOn,hit.timesOff,calibration_pred,calibration_actual,calibration_score,cal_feedback.started,cal_feedback.stopped,space_bar_12.keys,space_bar_12.rt,space_bar_12.duration,calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,calibration.ran
0.0005,11.0866,1,[6.094200000047685],[6.094299999952312],669b46825041be036247d1a2,2026-02-02_11h36.00.494,causal,2025.1.1,Win32,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,669b46825041be036247d1a2,2026-02-02_11h36.00.494,causal,2025.1.1,Win32,61.34969325,11.0874,18.2113,1,[2.1315000000000026],[2.1315000000000026],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,669b46825041be036247d1a2,2026-02-02_11h36.00.494,causal,2025.1.1,Win32,61.34969325,,,,,,18.2117,29.9044,"[""space"",""space""]","[1.068200000047682,8.634299999952326]","[null,null]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,669b46825041be036247d1a2,2026-02-02_11h36.00.494,causal,2025.1.1,Win32,61.34969325,,,,,,,,,,,97.1074,98.2388,f,0.7831,,98.2394,109.8774,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,669b46825041be036247d1a2,2026-02-02_11h36.00.494,causal,2025.1.1,Win32,61.34969325,,,,,,,,,,,166.6007,167.7987,j,0.8445,,167.7992,170.6281,1,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,669b46825041be036247d1a2,2026-02-02_11h36.00.494,causal,2025.1.1,Win32,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,170.6304,189.5105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,669b46825041be036247d1a2,2026-02-02_11h36.00.494,causal,2025.1.1,Win32,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,189.5111,197.0702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,669b46825041be036247d1a2,2026-02-02_11h36.00.494,causal,2025.1.1,Win32,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0705,205.7781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,669b46825041be036247d1a2,2026-02-02_11h36.00.494,causal,2025.1.1,Win32,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.7784,210.7115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,669b46825041be036247d1a2,2026-02-02_11h36.00.494,causal,2025.1.1,Win32,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.7125,212.4884,212.4893,212.4896,train,259.4828,260.4943,214.0057,216.3168,red,stimuli/collisions/training/stim3.mp4,j,1.9244,,TRUE,216.3321,231.6584,68,1,[1.769700000047692],[1.769700000047692],red,green,blue,15,12,231.6586,234.5341,1,[234.54660000014303],[234.54670000004768],0,[],[],234.5353,238.0204,1.3456,-5,FALSE,TRUE,238.0209,240.7332,"[""space""]",[0.682099999904608],[null],260.4946,261.4798,f,0.6151,,9,"[1.77,1.01,0.64,0.37,0.54,0.46,0.55,0.4,0.58,0.62]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
