intro.started,intro.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,participant,date,expName,psychopyVersion,OS,frameRate,timing_info.started,timing_info.stopped,button_7.numClicks,button_7.timesOn,button_7.timesOff,hand_positions.started,hand_positions.stopped,space_bar.keys,space_bar.rt,space_bar.duration,train_keys.started,train_keys.stopped,key_resp.keys,key_resp.rt,key_resp.duration,score.started,score.stopped,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,training_rounds,test_instruct.started,test_instruct.stopped,instruct_cont.started,instruct_cont.stopped,point_instruct.started,point_instruct.stopped,accident_instruct.started,accident_instruct.stopped,advance.started,advance.stopped,flip_video.started,flip_video.stopped,trial_type,buffer.started,buffer.stopped,collision.started,collision.stopped,selection,stimuli_path,select_resp.keys,select_resp.rt,select_resp.duration,resp_trial,responsibility.started,responsibility.stopped,conf_2.response,button.numClicks,button.timesOn,button.timesOff,conf_one,conf_two,conf_three,conf_3.response,conf_1.response,forfeit.started,forfeit.stopped,forfeit_button.numClicks,forfeit_button.timesOn,forfeit_button.timesOff,keep_button.numClicks,keep_button.timesOn,keep_button.timesOff,accuracy.started,accuracy.stopped,rt_diff,acc_points,keep_round,practice_round,begin_review.started,begin_review.stopped,space_bar_6.keys,space_bar_6.rt,space_bar_6.duration,review_keys.started,review_keys.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,review_trials,baseline_rts,review.thisRepN,review.thisTrialN,review.thisN,review.thisIndex,review.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,transition.started,transition.stopped,calibrate_instruct.started,calibrate_instruct.stopped,flip_calibration.started,flip_calibration.stopped,calibrate.started,calibrate.stopped,prediction.started,prediction.stopped,miss.numClicks,miss.timesOn,miss.timesOff,hit.numClicks,hit.timesOn,hit.timesOff,calibration_pred,calibration_actual,calibration_score,cal_feedback.started,cal_feedback.stopped,space_bar_12.keys,space_bar_12.rt,space_bar_12.duration,calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,calibration.ran
0.0006,84.0725,1,[79.07880000001191],[79.07880000001191],6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,84.0728,90.4533,1,[1.3823999999910654],[1.3823999999910654],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,90.4535,126.627,"[""space"",""space""]","[12.31289999999106,33.116000000000014]","[null,null]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,207.4221,208.4387,f,0.6636,,208.4389,215.2691,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,275.5397,276.8073,j,0.9162,,276.8075,279.585,1,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,279.5858,292.1321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,292.1324,301.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.4963,321.7733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.7734,329.0881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.0896,330.9881,330.9888,330.989,train,382.4068,383.4233,332.5059,336.8864,green,stimuli/collisions/training/stim3.mp4,k,3.996,,TRUE,336.8982,354.4321,100,1,[2.7824999999999704],[2.7824999999999704],red,green,blue,0,0,354.4325,356.3144,0,[],[],1,[356.335700000003],[356.335700000003],356.315,360.0805,-0.726,20,TRUE,TRUE,360.0807,362.9126,"[""space""]",[0.7985000000000468],[null],383.4234,385.9067,j,0.942,,9,"[1.48,0.89,0.79,0.62,0.8,0.77,0.52,0.62,0.72]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.9073,386.9393,386.9394,386.9394,train,423.1503,424.1625,388.4554,396.4706,timeout,stimuli/collisions/training/stim2.mp4,,,,TRUE,396.4716,396.4758,,0,[],[],red,green,blue,,,396.4767,396.4769,0,[],[],0,[],[],396.4771,399.9021,-4.0147,-30,TRUE,TRUE,399.9021,403.7677,"[""space""]",[1.8399000000059686],[null],424.1627,425.2166,f,0.6835,,9,"[0.78,0.91,1,0.5,0.68,0.78,0.68,1.25,0.49,0.68]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.2172,426.2444,426.2445,426.2445,train,443.1429,443.1431,427.7623,432.5098,red,stimuli/collisions/training/stim1.mp4,j,4.39,,TRUE,432.5122,438.3958,0,1,[0.7814999999999941],[0.7814999999999941],red,green,blue,0,100,438.3972,439.6282,0,[],[],1,[439.64990000000597],[439.64990000000597],439.6284,443.1404,-0.25,-10,TRUE,FALSE,443.1405,443.1406,,,,443.1433,443.1445,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.1449,446.4558,446.4559,446.4559,catch,459.4527,459.4528,447.9732,453.8038,miss,stimuli/collisions/miss/stim2.mp4,space,5.468,,TRUE,453.8063,453.8113,,0,[],[],red,green,blue,,,453.8122,456.5868,0,[],[],1,[456.608900000006],[456.608900000006],456.5871,459.4519,-1.468,10,TRUE,FALSE,459.4519,459.4519,,,,459.4529,459.4533,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.4534,460.4349,460.435,460.4351,test,476.0992,476.0995,461.9514,466.4031,red,stimuli/collisions/hit/stim17.mp4,j,4.0861,,TRUE,466.4054,471.9702,0,1,[0.8955999999940332],[0.8955999999940332],red,green,blue,0,100,471.9711,473.0192,0,[],[],1,[473.041],[473.041],473.0193,476.0977,0.2239,30,TRUE,FALSE,476.0977,476.0978,,,,476.0995,476.1002,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.1003,476.7809,476.7811,476.7811,catch,487.9957,487.9958,478.2983,483.762,miss,stimuli/collisions/miss/stim1.mp4,space,5.1145,,TRUE,483.7646,483.7686,,0,[],[],red,green,blue,,,483.7698,485.0787,0,[],[],1,[485.1006000000089],[485.1006000000089],485.0796,487.9942,-1.1145,50,TRUE,FALSE,487.9943,487.9944,,,,487.9958,487.9965,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.9967,488.9278,488.9279,488.9279,test,503.4759,503.4762,490.4437,493.9599,red,stimuli/collisions/hit/stim11.mp4,j,3.1664,,TRUE,493.9624,498.4463,0,1,[0.8155000000000427],[0.8155000000000427],red,green,blue,0,100,498.4473,499.479,0,[],[],1,[499.50070000000295],[499.50070000000295],499.4793,503.4736,0.4036,75,TRUE,FALSE,503.4737,503.4738,,,,503.4762,503.477,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.4774,504.7562,504.7563,504.7563,test,518.987,518.9871,506.2575,509.3557,red,stimuli/collisions/hit/stim14.mp4,j,2.736,,TRUE,509.3585,514.8582,0,1,[1.04849999999999],[1.04849999999999],red,green,blue,0,100,514.8592,515.7403,0,[],[],1,[515.7622000000031],[515.7622000000031],515.7404,518.9858,0.204,95,TRUE,FALSE,518.9858,518.9859,,,,518.9873,518.9878,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.9881,520.8185,520.8186,520.8186,test,560.7754,561.7912,522.3361,526.5722,green,stimuli/collisions/hit/stim15.mp4,k,3.8848,,TRUE,526.5757,533.7531,100,1,[0.879899999991153],[0.879899999991153],red,green,blue,0,0,533.7545,534.5361,0,[],[],1,[534.557800000012],[534.557800000012],534.5363,537.2813,0.7552,120,TRUE,TRUE,537.2813,540.1306,"[""space""]",[0.8166999999881455],[null],561.7913,562.9906,k,0.8575,,9,"[1.01,0.85,0.84,0.88,0.64,0.74,0.81,0.69,0.86]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.991,563.9236,563.9238,563.9239,test,578.9722,578.9724,565.441,569.1893,blue,stimuli/collisions/hit/stim4.mp4,f,3.3943,,TRUE,569.1915,575.8708,0,1,[0.749599999994075],[0.7497000000030312],red,green,blue,100,0,575.8737,576.6535,0,[],[],1,[576.6753000000119],[576.6753000000119],576.6536,578.9703,0.6157,145,TRUE,FALSE,578.9703,578.9704,,,,578.9726,578.9737,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.9742,579.7859,579.786,579.786,catch,590.0513,590.0513,581.3032,585.7842,miss,stimuli/collisions/miss/stim6.mp4,space,4.131,,TRUE,585.7861,585.7904,,0,[],[],red,green,blue,,,585.7912,587.2836,0,[],[],1,[587.305600000009],[587.305600000009],587.2838,590.0501,-0.131,165,TRUE,FALSE,590.0502,590.0503,,,,590.0514,590.052,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.0522,590.466,590.466,590.4661,test,605.2795,605.2795,591.983,595.5316,red,stimuli/collisions/hit/stim1.mp4,j,3.2027,,TRUE,595.5337,601.5134,0,1,[0.6665000000000418],[0.6665000000000418],red,green,blue,0,100,601.5144,602.4469,0,[],[],1,[602.4685000000001],[602.4685000000001],602.4471,605.2786,0.1673,185,TRUE,FALSE,605.2786,605.2786,,,,605.2796,605.28,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.2802,605.8623,605.8624,605.8624,test,619.9424,619.9424,607.3793,611.7607,green,stimuli/collisions/hit/stim10.mp4,k,4.0344,,TRUE,611.7627,616.4606,100,1,[0.6500999999940404],[0.6500999999940404],red,green,blue,0,0,616.4624,617.1593,0,[],[],1,[617.181],[617.181],617.1595,619.9417,0.2056,205,TRUE,FALSE,619.9417,619.9418,,,,619.9425,619.9428,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.943,620.9411,620.9412,620.9413,test,633.7053,633.7054,622.4576,625.5904,red,stimuli/collisions/hit/stim6.mp4,j,2.7904,,TRUE,625.5931,630.3232,0,1,[0.7492999999969925],[0.7492999999969925],red,green,blue,0,100,630.325,631.239,0,[],[],1,[631.260600000009],[631.260600000009],631.2393,633.7044,0.4496,230,TRUE,FALSE,633.7045,633.7046,,,,633.7055,633.7059,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6709873df4fb8176818d08ed,2026-02-02_14h32.01.463,causal,2025.1.1,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
