intro.started,intro.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,participant,date,expName,psychopyVersion,OS,frameRate,timing_info.started,timing_info.stopped,button_7.numClicks,button_7.timesOn,button_7.timesOff,hand_positions.started,hand_positions.stopped,space_bar.keys,space_bar.rt,space_bar.duration,train_keys.started,train_keys.stopped,key_resp.keys,key_resp.rt,key_resp.duration,score.started,score.stopped,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,training_rounds,test_instruct.started,test_instruct.stopped,instruct_cont.started,instruct_cont.stopped,point_instruct.started,point_instruct.stopped,accident_instruct.started,accident_instruct.stopped,advance.started,advance.stopped,flip_video.started,flip_video.stopped,trial_type,buffer.started,buffer.stopped,collision.started,collision.stopped,selection,stimuli_path,select_resp.keys,select_resp.rt,select_resp.duration,resp_trial,responsibility.started,responsibility.stopped,conf_2.response,button.numClicks,button.timesOn,button.timesOff,conf_one,conf_two,conf_three,conf_3.response,conf_1.response,forfeit.started,forfeit.stopped,forfeit_button.numClicks,forfeit_button.timesOn,forfeit_button.timesOff,keep_button.numClicks,keep_button.timesOn,keep_button.timesOff,accuracy.started,accuracy.stopped,rt_diff,acc_points,keep_round,practice_round,begin_review.started,begin_review.stopped,space_bar_6.keys,space_bar_6.rt,space_bar_6.duration,review_keys.started,review_keys.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,review_trials,baseline_rts,review.thisRepN,review.thisTrialN,review.thisN,review.thisIndex,review.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,transition.started,transition.stopped,calibrate_instruct.started,calibrate_instruct.stopped,flip_calibration.started,flip_calibration.stopped,calibrate.started,calibrate.stopped,prediction.started,prediction.stopped,miss.numClicks,miss.timesOn,miss.timesOff,hit.numClicks,hit.timesOn,hit.timesOff,calibration_pred,calibration_actual,calibration_score,cal_feedback.started,cal_feedback.stopped,space_bar_12.keys,space_bar_12.rt,space_bar_12.duration,calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,calibration.ran
0.0006,8.7441,1,[3.74959999999777],[3.74959999999777],67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,8.7446,15.8312,1,[2.0881999999992615],[2.0881999999992615],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,15.8314,43.8383,"[""space"",""space""]","[9.399000000000001,24.92750000000001]","[null,null]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,131.1091,132.042,space,0.5485,,132.0424,135.1413,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,206.5144,207.63,k,0.767,,207.6301,210.129,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,277.1533,278.7194,f,1.2156,,278.7194,288.4006,2,0,2,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,288.4015,294.8498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,294.85,304.7317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.732,317.1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.1135,322.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.8809,324.2453,324.2457,324.246,train,387.2862,388.3019,325.7632,328.6614,blue,stimuli/collisions/training/stim2.mp4,f,2.534,,TRUE,328.663,353.1055,0,1,[2.163499999999999],[2.163499999999999],red,green,blue,0,0,353.1057,357.5572,1,[357.586],[357.586],0,[],[],357.5578,361.8895,1.466,-5,FALSE,TRUE,361.8896,364.4561,"[""space""]",[0.5284999999998945],[null],388.3021,389.3522,k,0.6989,,9,"[2.63,0.7,1.68,1.35,0.85,0.55,1.25,0.73,0.68,0.7]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.353,390.4683,390.4684,390.4685,train,415.2995,415.2997,391.9852,393.9451,red,stimuli/collisions/training/stim3.mp4,j,1.6096,,TRUE,393.9478,406.0669,0,1,[1.7829999999999018],[1.7829999999999018],red,green,blue,0,0,406.0685,407.9292,1,[407.95819999999924],[407.95819999999924],0,[],[],407.9293,415.2979,1.6604,-10,FALSE,FALSE,415.298,415.2982,,,,415.2997,415.3009,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.3013,420.6137,420.6138,420.6139,train,460.9583,461.9741,422.1429,423.7798,miss,stimuli/collisions/training/stim1.mp4,space,1.2817,,TRUE,423.7829,423.7914,,0,[],[],red,green,blue,,,423.7929,430.1421,0,[],[],1,[430.17070000000285],[430.17070000000285],430.1424,436.3279,2.8583,-50,TRUE,TRUE,436.328,439.1441,"[""space""]",[0.7836999999992713],[null],461.9743,463.0575,j,0.7314,,9,"[2.7,0.58,0.68,0.88,0.7,0.77,1.42,0.83,0.88,0.73]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.0578,467.6399,467.6401,467.6402,test,502.6028,502.603,469.1569,471.1725,green,stimuli/collisions/hit/stim13.mp4,k,1.6615,,TRUE,471.1749,490.0843,0,1,[10.464800000000878],[10.464800000000878],red,green,blue,0,0,490.0861,492.8526,0,[],[],1,[492.88090000000216],[492.88090000000216],492.8531,502.6013,2.1085,-15,TRUE,FALSE,502.6014,502.6016,,,,502.603,502.6036,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.6041,508.4169,508.417,508.4172,test,586.1203,587.1213,509.9342,515.9334,timeout,stimuli/collisions/hit/stim5.mp4,space,5.8992,,TRUE,515.9351,515.9413,,0,[],[],red,green,blue,,,515.9429,515.9434,0,[],[],0,[],[],515.9437,516.1989,-2.0587,-65,TRUE,TRUE,516.199,519.4319,"[""space""]",[1.2003000000008797],[null],587.1215,589.0676,f,1.5673,,24,"[0.84,1.13,0.87,1.2,0.6,0.63,1.33,0.87,2.53,1.1,0.98,1.21,1.48,0.78,1.36,0.46,1.57]",24,0,24,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.0679,591.6875,591.6876,591.6876,test,617.0349,617.0351,593.2004,595.6831,blue,stimuli/collisions/hit/stim9.mp4,f,2.1151,,TRUE,595.6854,609.952,0,1,[5.782399999998461],[5.782399999998461],red,green,blue,0,100,609.9536,612.933,1,[612.9619000000022],[612.9619000000022],0,[],[],612.9332,617.0336,0.8549,-70,FALSE,FALSE,617.0336,617.0337,,,,617.0352,617.0361,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67edb211a7c1d23c1535d6b2,2026-02-02_15h43.10.903,causal,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617.0363,618.9331,618.9332,618.9333,test,640.1147,640.1149,620.4498,622.5639,red,stimuli/collisions/hit/stim1.mp4,j,1.761,,TRUE,622.5663,633.7983,0,1,[2.7495999999978267],[2.7495999999978267],red,green,blue,0,100,633.8001,636.294,0,[],[],1,[636.3224000000023],[636.3224000000023],636.2944,640.1134,1.609,-40,TRUE,FALSE,640.1134,640.1137,,,,640.1149,640.1156,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
