intro.started,intro.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,participant,date,expName,psychopyVersion,OS,frameRate,timing_info.started,timing_info.stopped,button_7.numClicks,button_7.timesOn,button_7.timesOff,hand_positions.started,hand_positions.stopped,space_bar.keys,space_bar.rt,space_bar.duration,train_keys.started,train_keys.stopped,key_resp.keys,key_resp.rt,key_resp.duration,score.started,score.stopped,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,training_rounds,test_instruct.started,test_instruct.stopped,instruct_cont.started,instruct_cont.stopped,point_instruct.started,point_instruct.stopped,accident_instruct.started,accident_instruct.stopped,advance.started,advance.stopped,flip_video.started,flip_video.stopped,trial_type,buffer.started,buffer.stopped,collision.started,collision.stopped,selection,stimuli_path,select_resp.keys,select_resp.rt,select_resp.duration,resp_trial,responsibility.started,responsibility.stopped,conf_2.response,button.numClicks,button.timesOn,button.timesOff,conf_one,conf_two,conf_three,conf_3.response,conf_1.response,forfeit.started,forfeit.stopped,forfeit_button.numClicks,forfeit_button.timesOn,forfeit_button.timesOff,keep_button.numClicks,keep_button.timesOn,keep_button.timesOff,accuracy.started,accuracy.stopped,rt_diff,acc_points,keep_round,practice_round,begin_review.started,begin_review.stopped,space_bar_6.keys,space_bar_6.rt,space_bar_6.duration,review_keys.started,review_keys.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,review_trials,baseline_rts,review.thisRepN,review.thisTrialN,review.thisN,review.thisIndex,review.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,transition.started,transition.stopped,calibrate_instruct.started,calibrate_instruct.stopped,flip_calibration.started,flip_calibration.stopped,calibrate.started,calibrate.stopped,prediction.started,prediction.stopped,miss.numClicks,miss.timesOn,miss.timesOff,hit.numClicks,hit.timesOn,hit.timesOff,calibration_pred,calibration_actual,calibration_score,cal_feedback.started,cal_feedback.stopped,space_bar_12.keys,space_bar_12.rt,space_bar_12.duration,calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,calibration.ran
0.0004,6.4378,1,[1.4502000000029796],[1.4502000000029796],67ef271a077b57be115e4a24,2026-02-02_14h56.21.780,causal,2025.1.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67ef271a077b57be115e4a24,2026-02-02_14h56.21.780,causal,2025.1.1,Win32,59.52380952,6.4382,12.8186,1,[1.3827999999970189],[1.3827999999970189],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67ef271a077b57be115e4a24,2026-02-02_14h56.21.780,causal,2025.1.1,Win32,59.52380952,,,,,,12.8188,24.8495,"[""space"",""space""]","[1.0642000000029697,8.968700000002983]","[null,null]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67ef271a077b57be115e4a24,2026-02-02_14h56.21.780,causal,2025.1.1,Win32,59.52380952,,,,,,,,,,,91.8984,92.9686,space,0.7108,,92.9693,95.729,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67ef271a077b57be115e4a24,2026-02-02_14h56.21.780,causal,2025.1.1,Win32,59.52380952,,,,,,,,,,,155.7832,156.9009,j,0.7701,,156.9009,159.4953,1,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67ef271a077b57be115e4a24,2026-02-02_14h56.21.780,causal,2025.1.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,159.4959,165.6938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67ef271a077b57be115e4a24,2026-02-02_14h56.21.780,causal,2025.1.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,165.6941,173.0087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67ef271a077b57be115e4a24,2026-02-02_14h56.21.780,causal,2025.1.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0089,179.6075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67ef271a077b57be115e4a24,2026-02-02_14h56.21.780,causal,2025.1.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.6079,185.4384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67ef271a077b57be115e4a24,2026-02-02_14h56.21.780,causal,2025.1.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.4407,200.8344,200.8346,200.8348,train,236.5587,237.5737,202.3607,205.8329,green,stimuli/collisions/training/stim3.mp4,k,3.1076,,TRUE,205.845,211.6326,100,1,[0.7838999999910357],[0.7838999999910357],red,green,blue,0,0,211.633,212.2481,0,[],[],1,[212.267099999994],[212.267099999994],212.2486,214.6804,0.1624,20,TRUE,TRUE,214.6807,217.4964,"[""space""]",[0.7807000000029802],[null],237.5738,239.8905,k,0.7718,,9,"[0.73,0.55,0.57,0.82,0.9,0.73,0.54,0.95,0.92]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
