intro.started,intro.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,participant,date,expName,psychopyVersion,OS,frameRate,timing_info.started,timing_info.stopped,button_7.numClicks,button_7.timesOn,button_7.timesOff,hand_positions.started,hand_positions.stopped,space_bar.keys,space_bar.rt,space_bar.duration,train_keys.started,train_keys.stopped,key_resp.keys,key_resp.rt,key_resp.duration,score.started,score.stopped,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,training_rounds,test_instruct.started,test_instruct.stopped,instruct_cont.started,instruct_cont.stopped,point_instruct.started,point_instruct.stopped,accident_instruct.started,accident_instruct.stopped,advance.started,advance.stopped,flip_video.started,flip_video.stopped,trial_type,buffer.started,buffer.stopped,collision.started,collision.stopped,selection,stimuli_path,select_resp.keys,select_resp.rt,select_resp.duration,resp_trial,responsibility.started,responsibility.stopped,conf_2.response,button.numClicks,button.timesOn,button.timesOff,conf_one,conf_two,conf_three,conf_3.response,conf_1.response,forfeit.started,forfeit.stopped,forfeit_button.numClicks,forfeit_button.timesOn,forfeit_button.timesOff,keep_button.numClicks,keep_button.timesOn,keep_button.timesOff,accuracy.started,accuracy.stopped,rt_diff,acc_points,keep_round,practice_round,begin_review.started,begin_review.stopped,space_bar_6.keys,space_bar_6.rt,space_bar_6.duration,review_keys.started,review_keys.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,review_trials,baseline_rts,review.thisRepN,review.thisTrialN,review.thisN,review.thisIndex,review.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,transition.started,transition.stopped,calibrate_instruct.started,calibrate_instruct.stopped,flip_calibration.started,flip_calibration.stopped,calibrate.started,calibrate.stopped,prediction.started,prediction.stopped,miss.numClicks,miss.timesOn,miss.timesOff,hit.numClicks,hit.timesOn,hit.timesOff,calibration_pred,calibration_actual,calibration_score,cal_feedback.started,cal_feedback.stopped,space_bar_12.keys,space_bar_12.rt,space_bar_12.duration,calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,calibration.ran
0.0036,11.5849,1,[6.581699999988018],[6.581799999996974],687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,11.5872,18.3831,1,[1.796700000002943],[1.796700000002943],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,,,,,,18.3837,38.5271,"[""a"",""space""]","[0.4342000000029884,17.096200000003023]","[null,null]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,,,,,,,,,,,120.9979,121.9973,f,0.6503,,121.9984,127.615,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,,,,,,,,,,,193.5092,194.6268,j,0.7764,,194.6268,198.3302,1,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,,,,,,,,,,,,,,,,,,,,,,,,198.3313,219.5205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,,,,,,,,,,,,,,,,,,,,,,,,,,219.5207,242.4635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.4644,269.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.7704,278.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,687412b8d619a222cdd0bec9,2026-02-02_12h02.02.816,causal,2025.1.1,Win32,19.96007984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.8106,280.4714,280.4734,280.4745,train,343.4293,344.4433,282.0061,284.3939,green,stimuli/collisions/training/stim3.mp4,j,2.0304,,TRUE,284.4107,305.6189,100,1,[1.022700000002942],[1.022700000002942],red,green,blue,1,0,305.6213,308.7965,0,[],[],1,[308.99990000000594],[308.99990000000594],308.7988,319.0374,1.5295,30,TRUE,TRUE,319.0379,322.17,"[""space""]",[1.106999999999971],[null],344.4436,345.45,space,0.5729,,9,"[0.88,0.72,1.06,0.7,0.67,0.66,0.65,0.68,0.57]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
