intro.started,intro.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,participant,date,expName,psychopyVersion,OS,frameRate,timing_info.started,timing_info.stopped,button_7.numClicks,button_7.timesOn,button_7.timesOff,hand_positions.started,hand_positions.stopped,space_bar.keys,space_bar.rt,space_bar.duration,train_keys.started,train_keys.stopped,key_resp.keys,key_resp.rt,key_resp.duration,score.started,score.stopped,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,training_rounds,test_instruct.started,test_instruct.stopped,instruct_cont.started,instruct_cont.stopped,point_instruct.started,point_instruct.stopped,accident_instruct.started,accident_instruct.stopped,advance.started,advance.stopped,flip_video.started,flip_video.stopped,trial_type,buffer.started,buffer.stopped,collision.started,collision.stopped,selection,stimuli_path,select_resp.keys,select_resp.rt,select_resp.duration,resp_trial,responsibility.started,responsibility.stopped,conf_2.response,button.numClicks,button.timesOn,button.timesOff,conf_one,conf_two,conf_three,conf_3.response,conf_1.response,forfeit.started,forfeit.stopped,forfeit_button.numClicks,forfeit_button.timesOn,forfeit_button.timesOff,keep_button.numClicks,keep_button.timesOn,keep_button.timesOff,accuracy.started,accuracy.stopped,rt_diff,acc_points,keep_round,practice_round,begin_review.started,begin_review.stopped,space_bar_6.keys,space_bar_6.rt,space_bar_6.duration,review_keys.started,review_keys.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,review_trials,baseline_rts,review.thisRepN,review.thisTrialN,review.thisN,review.thisIndex,review.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,transition.started,transition.stopped,calibrate_instruct.started,calibrate_instruct.stopped,flip_calibration.started,flip_calibration.stopped,calibrate.started,calibrate.stopped,prediction.started,prediction.stopped,miss.numClicks,miss.timesOn,miss.timesOff,hit.numClicks,hit.timesOn,hit.timesOff,calibration_pred,calibration_actual,calibration_score,cal_feedback.started,cal_feedback.stopped,space_bar_12.keys,space_bar_12.rt,space_bar_12.duration,calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,calibration.ran
0.0003,10.8956,1,[5.9009000000059615],[5.901],69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,10.8963,17.294,1,[1.3999999999999986],[1.3999999999999986],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,17.2945,33.3431,"[""space"",""space""]","[2.2803999999910545,12.985700000002979]","[null,null]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,113.1402,114.8232,f,1.3288,,114.824,117.8222,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,176.838,177.7204,space,0.5009,,177.7206,181.4194,1,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,181.4214,189.5528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,189.5532,197.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.7193,212.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.6191,217.8512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.8543,219.3513,219.3521,219.3523,train,313.1144,314.1303,220.8704,224.2015,red,stimuli/collisions/training/stim1.mp4,j,2.9291,,TRUE,224.2043,280.2993,0,1,[42.93149999999997],[42.93149999999997],red,green,blue,40,60,280.2997,284.0989,0,[],[],1,[284.108799999997],[284.108900000006],284.1003,289.0485,1.2109,30,TRUE,TRUE,289.0489,292.5977,"[""space""]",[1.5229000000059614],[null],314.1305,315.9309,f,1.443,,9,"[1.14,0.93,0.73,0.98,1.04,0.5,1.08,1.03,0.72,1.44]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
