intro.started,intro.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,participant,date,expName,psychopyVersion,OS,frameRate,timing_info.started,timing_info.stopped,button_7.numClicks,button_7.timesOn,button_7.timesOff,hand_positions.started,hand_positions.stopped,space_bar.keys,space_bar.rt,space_bar.duration,train_keys.started,train_keys.stopped,key_resp.keys,key_resp.rt,key_resp.duration,score.started,score.stopped,training_rounds,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,test_instruct.started,test_instruct.stopped,instruct_cont.started,instruct_cont.stopped,point_instruct.started,point_instruct.stopped,accident_instruct.started,accident_instruct.stopped,advance.started,advance.stopped,flip_video.started,flip_video.stopped,trial_type,buffer.started,buffer.stopped,collision.started,collision.stopped,selection,stimuli_path,select_resp.keys,select_resp.rt,select_resp.duration,resp_trial,responsibility.started,responsibility.stopped,conf_2.response,button.numClicks,button.timesOn,button.timesOff,conf_one,conf_two,conf_three,conf_3.response,conf_1.response,forfeit.started,forfeit.stopped,forfeit_button.numClicks,forfeit_button.timesOn,forfeit_button.timesOff,keep_button.numClicks,keep_button.timesOn,keep_button.timesOff,accuracy.started,accuracy.stopped,rt_diff,acc_points,keep_round,practice_round,begin_review.started,begin_review.stopped,space_bar_6.keys,space_bar_6.rt,space_bar_6.duration,review_keys.started,review_keys.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,review_trials,baseline_rts,review.thisRepN,review.thisTrialN,review.thisN,review.thisIndex,review.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,transition.started,transition.stopped,calibrate_instruct.started,calibrate_instruct.stopped,flip_calibration.started,flip_calibration.stopped,calibrate.started,calibrate.stopped,prediction.started,prediction.stopped,miss.numClicks,miss.timesOn,miss.timesOff,hit.numClicks,hit.timesOn,hit.timesOff,calibration_pred,calibration_actual,calibration_score,cal_feedback.started,cal_feedback.stopped,space_bar_12.keys,space_bar_12.rt,space_bar_12.duration,calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,calibration.ran
0.0004,13.2613,1,[8.266599999994042],[8.266599999994042],697a75a62232e02fbcdf2a29,2026-02-02_15h23.43.512,causal,2025.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,697a75a62232e02fbcdf2a29,2026-02-02_15h23.43.512,causal,2025.1.1,MacIntel,120.4819277,13.2613,21.9779,1,[3.7165999999940382],[3.71669999998808],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,697a75a62232e02fbcdf2a29,2026-02-02_15h23.43.512,causal,2025.1.1,MacIntel,120.4819277,,,,,,21.9781,55.603,"[""space"",""space""]","[8.730000000000004,30.58679999999702]","[null,null]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,697a75a62232e02fbcdf2a29,2026-02-02_15h23.43.512,causal,2025.1.1,MacIntel,120.4819277,,,,,,,,,,,119.7458,120.6199,space,0.5176,,120.6208,124.2115,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,697a75a62232e02fbcdf2a29,2026-02-02_15h23.43.512,causal,2025.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,124.2119,146.2357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,697a75a62232e02fbcdf2a29,2026-02-02_15h23.43.512,causal,2025.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,146.2359,156.0537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,697a75a62232e02fbcdf2a29,2026-02-02_15h23.43.512,causal,2025.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0539,180.7791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,697a75a62232e02fbcdf2a29,2026-02-02_15h23.43.512,causal,2025.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.7793,190.6622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,697a75a62232e02fbcdf2a29,2026-02-02_15h23.43.512,causal,2025.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.664,198.4323,198.4327,198.4328,train,264.5707,265.5785,199.9424,202.1081,red,stimuli/collisions/training/stim3.mp4,j,1.8119,,TRUE,202.1095,232.3576,100,1,[5.650700000002956],[5.650700000002956],red,green,blue,0,0,232.3578,236.1242,1,[236.13129999999703],[236.13129999999703],0,[],[],236.1246,242.4581,1.4581,-5,FALSE,TRUE,242.4583,245.5247,"[""space""]",[1.0465999999940436],[null],265.5786,266.5194,space,0.5814,,9,"[1.98,0.63,0.81,0.72,0.63,0.61,0.54,0.63,0.46,0.58]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,697a75a62232e02fbcdf2a29,2026-02-02_15h23.43.512,causal,2025.1.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
