intro.started,intro.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,participant,date,expName,psychopyVersion,OS,frameRate,timing_info.started,timing_info.stopped,button_7.numClicks,button_7.timesOn,button_7.timesOff,hand_positions.started,hand_positions.stopped,space_bar.keys,space_bar.rt,space_bar.duration,train_keys.started,train_keys.stopped,key_resp.keys,key_resp.rt,key_resp.duration,score.started,score.stopped,training_rounds,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,test_instruct.started,test_instruct.stopped,instruct_cont.started,instruct_cont.stopped,point_instruct.started,point_instruct.stopped,accident_instruct.started,accident_instruct.stopped,advance.started,advance.stopped,flip_video.started,flip_video.stopped,trial_type,buffer.started,buffer.stopped,collision.started,collision.stopped,selection,stimuli_path,select_resp.keys,select_resp.rt,select_resp.duration,resp_trial,responsibility.started,responsibility.stopped,conf_2.response,button.numClicks,button.timesOn,button.timesOff,conf_one,conf_two,conf_three,conf_3.response,conf_1.response,forfeit.started,forfeit.stopped,forfeit_button.numClicks,forfeit_button.timesOn,forfeit_button.timesOff,keep_button.numClicks,keep_button.timesOn,keep_button.timesOff,accuracy.started,accuracy.stopped,rt_diff,acc_points,keep_round,practice_round,begin_review.started,begin_review.stopped,space_bar_6.keys,space_bar_6.rt,space_bar_6.duration,review_keys.started,review_keys.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,review_trials,baseline_rts,review.thisRepN,review.thisTrialN,review.thisN,review.thisIndex,review.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,transition.started,transition.stopped,calibrate_instruct.started,calibrate_instruct.stopped,flip_calibration.started,flip_calibration.stopped,calibrate.started,calibrate.stopped,prediction.started,prediction.stopped,miss.numClicks,miss.timesOn,miss.timesOff,hit.numClicks,hit.timesOn,hit.timesOff,calibration_pred,calibration_actual,calibration_score,cal_feedback.started,cal_feedback.stopped,space_bar_12.keys,space_bar_12.rt,space_bar_12.duration,calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,calibration.ran
0.0002,6.3087,1,[1.3215999999642385],[1.3215999999642385],6980f250d57e6174ad924571,2026-02-02_14h32.13.424,causal,2025.1.1,MacIntel,29.6735905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6980f250d57e6174ad924571,2026-02-02_14h32.13.424,causal,2025.1.1,MacIntel,29.6735905,6.3089,12.3417,1,[1.034199999988079],[1.034199999988079],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6980f250d57e6174ad924571,2026-02-02_14h32.13.424,causal,2025.1.1,MacIntel,29.6735905,,,,,,12.3419,22.4753,"[""space"",""space""]","[1.6423999999761598,6.999899999976154]","[null,null]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6980f250d57e6174ad924571,2026-02-02_14h32.13.424,causal,2025.1.1,MacIntel,29.6735905,,,,,,,,,,,81.4427,82.4744,k,0.6278,,82.4745,85.3748,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6980f250d57e6174ad924571,2026-02-02_14h32.13.424,causal,2025.1.1,MacIntel,29.6735905,,,,,,,,,,,,,,,,,,,,,,,,85.3753,106.4413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6980f250d57e6174ad924571,2026-02-02_14h32.13.424,causal,2025.1.1,MacIntel,29.6735905,,,,,,,,,,,,,,,,,,,,,,,,,,106.4415,114.4085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6980f250d57e6174ad924571,2026-02-02_14h32.13.424,causal,2025.1.1,MacIntel,29.6735905,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.4087,131.3077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6980f250d57e6174ad924571,2026-02-02_14h32.13.424,causal,2025.1.1,MacIntel,29.6735905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.3077,136.5414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6980f250d57e6174ad924571,2026-02-02_14h32.13.424,causal,2025.1.1,MacIntel,29.6735905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.5441,138.0079,138.0082,138.0083,train,190.3739,191.3746,139.5429,142.2079,red,stimuli/collisions/training/stim3.mp4,k,2.6047,,TRUE,142.2089,158.0761,94,1,[1.1671999999880711],[1.1671999999880711],red,green,blue,22,7,158.0764,161.4741,1,[161.47830000001196],[161.47830000001196],0,[],[],161.4747,165.9412,1.0184,-5,FALSE,TRUE,165.9414,170.7081,"[""space""]",[2.7232999999523315],[null],191.3747,192.3748,f,0.6069,,9,"[1.38,0.59,1.13,0.67,0.88,0.53,0.68,0.63,0.34,0.61]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6980f250d57e6174ad924571,2026-02-02_14h32.13.424,causal,2025.1.1,MacIntel,29.6735905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
