stimulus,ball_index,order,RICK
1,1,3,0.0
1,2,1,100.0
1,3,2,0.0
2,1,3,0.0
2,2,2,0.0
2,3,1,100.0
3,1,1,100.0
3,2,2,0.0
3,3,3,0.0
4,1,1,100.0
4,2,2,0.0
4,3,3,0.0
5,1,1,100.0
5,2,2,0.0
5,3,3,0.0
6,1,2,0.0
6,2,1,100.0
6,3,3,0.0
7,1,3,0.0
7,2,2,26.634563773202125
7,3,1,73.36543622679787
8,1,3,0.0
8,2,1,66.51139480605895
8,3,2,33.48860519394105
9,1,2,18.609945017132848
9,2,1,81.39005498286714
9,3,3,0.0
10,1,3,0.0
10,2,2,39.55157616183714
10,3,1,60.44842383816287
11,1,3,0.0
11,2,1,100.0
11,3,2,0.0
12,1,1,100.0
12,2,2,0.0
12,3,3,0.0
13,1,1,63.08652118529016
13,2,2,36.91347881470985
13,3,3,0.0
14,1,1,82.24594994322054
14,2,2,17.754050056779466
14,3,3,0.0
15,1,2,0.0
15,2,3,0.0
15,3,1,100.0
16,1,2,9.130158545167182
16,2,1,90.86984145483282
16,3,3,0.0
17,1,2,0.0
17,2,3,0.0
17,3,1,100.0
18,1,2,23.67489194417715
18,2,1,76.32510805582284
18,3,3,0.0
